Analyte,FlowRegime,Greenbelt Plateau,Superior Associates,Highway 36,CTC Open Space
Mg_Total,Rain,a,ab,b,ab
Al_Total,Rain,a,a,a,a
K_Total,Rain,a,a,a,a
Ca_Total,Rain,a,ab,b,ab
V_Total,Rain,a,a,a,a
Cr_Total,Rain,b,ab,ab,a
Mn_Total,Rain,a,a,a,a
Fe_Total,Rain,a,a,a,a
Co_Total,Rain,b,ab,b,a
Ni_Total,Rain,b,ab,b,a
Cu_Total,Rain,b,b,b,a
Zn_Total,Rain,a,a,a,a
As_Total,Rain,b,b,b,a
Se_Total,Rain,a,a,a,a
Sr_Total,Rain,a,ab,b,ab
Cd_Total,Rain,b,b,ab,a
Ba_Total,Rain,a,a,a,a
Tl_Total,Rain,a,a,a,a
Pb_Total,Rain,a,a,a,a
U_Total,Rain,ab,c,bc,a
Hardness,Rain,a,ab,b,ab
Temp,Rain,a,a,a,a
pH,Rain,a,a,a,a
Turbidity,Rain,a,a,a,a
Conductivity,Rain,a,ab,b,ab
TSS,Rain,a,a,a,a
Alkalinity,Rain,ab,c,bc,a
NPOC,Rain,a,b,a,a
TDN,Rain,a,a,a,a
Ammonia,Rain,ab,b,a,a
TDP,Rain,b,a,NA,NA
Chloride,Rain,a,c,b,a
Sulfate,Rain,a,b,b,ab
Fluoride,Rain,a,a,a,a
Bromide,Rain,ab,b,ab,a
Nitrate,Rain,a,a,a,a
Li_Filtered,NA,a,a,c,b
Na_Filtered,NA,a,c,ac,b
Mg_Filtered,NA,a,c,ac,b
Al_Filtered,NA,ab,b,ab,a
K_Filtered,NA,a,a,c,b
Ca_Filtered,NA,ab,c,bc,a
V_Filtered,NA,ab,b,a,a
Cr_Filtered,NA,a,ab,ab,b
Mn_Filtered,NA,ab,b,c,a
Fe_Filtered,NA,ab,b,ab,a
Co_Filtered,NA,a,bc,c,b
Ni_Filtered,NA,a,bc,c,b
Cu_Filtered,NA,a,b,ab,b
Zn_Filtered,NA,a,a,a,a
As_Filtered,NA,a,ab,a,b
Se_Filtered,NA,a,a,a,a
Sr_Filtered,NA,a,c,a,b
Cd_Filtered,NA,a,a,a,a
Ba_Filtered,NA,a,ab,ab,b
Tl_Filtered,NA,a,a,a,a
Pb_Filtered,NA,a,b,ab,a
U_Filtered,NA,a,c,a,b
Li_Total,NA,b,b,a,a
Na_Total,NA,a,c,ab,b
Mg_Total,NA,ac,b,ab,c
Al_Total,NA,a,a,a,a
K_Total,NA,b,b,a,b
Ca_Total,NA,a,b,ab,a
V_Total,NA,ab,b,ab,a
Cr_Total,NA,c,bc,ab,a
Mn_Total,NA,ab,b,a,a
Fe_Total,NA,a,a,a,a
Co_Total,NA,ab,bc,a,c
Ni_Total,NA,a,bc,ab,c
Cu_Total,NA,a,a,a,b
Zn_Total,NA,a,a,a,a
As_Total,NA,b,ab,a,c
Se_Total,NA,a,a,a,a
Sr_Total,NA,ab,b,a,c
Cd_Total,NA,a,a,ab,b
Ba_Total,NA,a,a,a,a
Tl_Total,NA,a,a,a,a
Pb_Total,NA,a,a,a,a
U_Total,NA,a,c,a,b
Hardness,NA,ab,c,bc,a
Temp,NA,a,ab,b,b
pH,NA,a,a,b,a
Turbidity,NA,a,a,b,a
Conductivity,NA,ab,b,a,c
TSS,NA,a,a,a,a
Alkalinity,NA,a,c,a,b
NPOC,NA,a,a,a,a
TDN,NA,a,ac,b,bc
Ammonia,NA,a,a,a,a
TDP,NA,a,b,a,a
Chloride,NA,a,c,a,b
Sulfate,NA,a,b,b,ab
Fluoride,NA,ab,b,a,c
Nitrite,NA,a,NA,a,a
Bromide,NA,a,c,ab,b
Nitrate,NA,ab,b,ab,a
Phosphate,NA,a,NA,a,NA
